campeão;região;título;função;frase;história
Aatrox;Runeterra;A espada darkin;Lutador;''Alguns lutam por honra. Outros, por glória. A única coisa importante é que haja luta.'';Aatrox, um dos primeiros darkins, já foi um espadachim inigualável que se deleitava no caos sangrento dos campos de batalha. Trancafiado dentro de sua própria espada pela magia de seus inimigos, ele esperou milhares de anos por um hospedeiro capaz de empulhá-la—o guerreiro mortal foi então corrompido e transformado pela arma e Aatrox conseguiu renascer. Embora os contos sobre os darkin já tenham se tornado lendas, ele se lembra muito bem da destruição de sua raça e consolida sua vingança a cada golpe de sua espada.
Ahri;Ionia;A raposa de nove caudas;Mago;"As emoções humanas podem ser mais voláteis até do que a magia mais poderosa.";Com uma conexão inata com o poder latente de Runeterra, Ahri é uma vastaya capaz de transformar magia em orbes de pura energia. Ela gosta de brincar com suas presas manipulando suas emoções antes de devorar suas essências vitais. Apesar de sua natureza predatória, Ahri conserva um senso de empatia ao receber flashes de memória das almas que ela consome.
Akali;Ionia;O punho das sombras;Assassino;''O Punho das Sombras ataca com a proteção da morte. Não impeça o equilíbrio.'';Um prodígio nas artes marciais, Akali faz parte da ordem marcial conhecida como Kinkou. Ela sucedeu sua mãe como Punho das Sombras, incumbida com o dever sagrado de aniquilar aqueles que causarem desequilíbrio na sua terra natal. Apesar de alguns considerarem seus métodos muito extremos, Akali é criteriosa ao manter a harmonia em Ionia.
Alistar;Runeterra;O minotauro;Tanque;"Nada pode me impedir!";Um poderoso guerreiro com uma temível reputação, Alistar busca vingança por seu clã, morto pelas mãos do império de Noxus. Apesar de ter sido escravizado e forçado a uma vida de gladiador, sua vontade indestrutível o impediu de se tornar uma fera de verdade. Agora, liberto das correntes dos seus antigos mestres, ele luta pelos oprimidos e desfavorecidos, sua fúria uma arma tão poderosa quanto seus chifres, cascos e punhos.
Amumu;Shurima;A múmia triste;Tanque;'A solidão pode ser mais solitária do que a morte.';Reza a lenda que Amumu é uma alma solitária e melancólica da antiga Shurima que vaga sem rumo pelo mundo em busca de um amigo. Amaldiçoado por uma feitiço ancestral para permanecer só pela eternidade, seu toque traz a morte e sua afeição, a ruína. Aqueles que afirmam já tê-lo visto o descrevem como um morto-vivo, franzino e coberto por faixas asquerosas. Amumu já inspirou tantos mitos, folclore e lendas contadas por muitas gerações, que já é impossível separar a verdade da ficção.
Anivia;Freljord;A criofênix;Mago;''Eu sou a fúria da nevasca, a ferroada do vento e o frio do gelo. Eu sou Freljord.'';Anivia é um espírito alado e benevolente que suporta infinitos ciclos de vida, morte e renascimento para proteger Freljord. Uma semideusa nascida de ventos impiedosos e frios brutais, ela carrega esses poderes elementais para perseguir qualquer um que ousar perturbar sua terra natal. Anivia guia e protege as tribos do norte hostil, que a reverenciam como um símbolo de esperança e como uma portadora de grandes mudanças. Ela luta com todas as fibras do seu ser, sabendo que por meio do sacrifício, sua memória irá perdurar e ela renascerá em um novo amanhã.
Annie;Runeterra;A criança sombria;Mago;"Eu nunca brinco com fósforos.";Perigosa, mas adoravelmente precoce, Annie é uma pequena maga com imenso poder piromaníaco. Mesmo isolada nas sombras das montanhas ao norte de Noxus, ela causa estranhamento com sua magia. Sua afinidade natural com o fogo já era evidente desde a primeira infância, quando ela tinha explosões emocionais imprevisíveis. Apesar disso, ela aprendeu a controlar esses “truques divertidos”. Seu truque favorito inclui invocar seu amado ursinho de pelúcia, Tibbers, como protetor incendiário. Perdida na eterna inocência da infância, Annie vaga pelas florestas sombrias em busca de alguém para brincar.
Ashe;Freljord;A arqueira do gelo;Atirador;''Uma tribo, um povo, uma Freljord.'';A mãe guerreira Glacinata da tribo de Avarosa, Ashe comanda a horda mais populosa do norte. Estoica, inteligente e idealista, mesmo que desconfortável com seu papel de liderança, ela canaliza as magias ancestrais de sua linhagem para empunhar um arco de Gelo Verdadeiro. Com a crença de seu povo de que Ashe seria a heroína mítica, Avarosa, reencarnada, ela espera unificar Freljord mais uma vez, retomando suas antigas terras tribais.
Aurelion Sol;Runeterra;O forjador de estrelas;Mago;“Temam. Adorem. Maravilhem-se. Todas são respostas apropriadas.”;Aurelion Sol costumava agraciar a vasta imensidão vazia dos cosmos com maravilhas celestiais concebidas por ele mesmo. Agora, ele é forçado a usar seu incrível poder a mando de um império espacial remoto que o enganou e o mantém sob servidão. Desejando voltar a forjar estrelas, Aurelion Sol arrastará as próprias estrelas dos céus se for preciso para recuperar sua liberdade.
Azir;Shurima;O imperador das areias;Mago;“Shurima foi outrora a glória de Runeterra. E assim eu a farei de novo.”;Azir foi um imperador mortal de Shurima em uma era muito antiga e um homem orgulhoso que esteve a um passo da imortalidade. Sua insolência fez com que fosse traído e assassinado no momento de seu maior triunfo, mas agora, milênios depois, ele renasceu como um Ascendente de poder imenso. Com sua cidade antes soterrada agora erguida, Azir busca devolver Shurima à sua antiga glória.
